title,author,release_date,page_count,language,publisher,genre,format,reviews,ratings,description,avg_score,ibsn,link
Duchowieństwo katolickie diecezji śląskiej (katowickiej) w Drugiej Rzeczypospolitej,Henryk Olszar,2000-01-01,664,polski,Kuria Metropolitalna w Katowicach,"biografia, autobiografia, pamiętnik",papier,0,0,Ta książka nie posiada jeszcze opisu.,"0,0",9788377937501,https://lubimyczytac.pl/ksiazka/5169324/duchowienstwo-katolickie-diecezji-slaskiej-katowickiej-w-drugiej-rzeczypospolitej
Ojciec i syn: Fascynujące wpomnienia,Szczepan Kurzymski,2000-01-01,241,polski,Roxan,"biografia, autobiografia, pamiętnik",papier,2,0,Ta książka nie posiada jeszcze opisu.,"9,0",9788391228890,https://lubimyczytac.pl/ksiazka/200293/ojciec-i-syn-fascynujace-wpomnienia
Izabela Jagiellonka. Królowa Węgier,Małgorzata Duczmal,2000-01-01,445,polski,Oficyna Wydawnicza RYTM,"biografia, autobiografia, pamiętnik",papier,13,2,"Izabela Jagiellonka (1519-1559),królowa Węgier, jest postacią całkowicie w Polsce nieznaną. Tymczasem dzieje tej inteligentnej i urodziwej kobiety sa prawdziwie fascynujące. Izabela dorównywała zręcznością polityczną swej sławnej matce, królowej Bonie, i bez wątpienia przerastała zaletami charakteu i umysłu swą siostrę Annę Jagiellonkę, wyniesioną na tron polski. Sprawując przez prawie dwadzieścia lat rządy na Węgrzech, jako regentka w imieniu małoletniego syna, trzymała w szachu dwie ówczesne, wrogie jej królestwu potęgi - Turcję i Habsburgów. To o niej pisał Mikołaj Rej, że ""wiele światem trzęsła"". Książka Małgorzaty Duczmal jest pierwszą biografią Izabeli Jagiellonki ukazującą sie w Polsce. Dramatyczne losy polskiej królewny, która w imponujący sposób stawiała czoło przeciwnościom losu, ukazane zostały na szerokim tle historycznym, pozwalającym zrozumieć główne trendy ówczesnej polityki wielkich mocarstw i przyczyny tragicznego upadku Węgier w XVI wieku.","6,2",8387893749,https://lubimyczytac.pl/ksiazka/183435/izabela-jagiellonka-krolowa-wegier
Ramajana Najstarsza Baśń Świata,Ewa Kmiecik,2000-01-01,80,polski,Natur,"baśnie, legendy, podania",papier,0,0,"Najstarsza Baśń Świata czyli Opowieść o Panu Ramie, Jego żonie Sicie i bracie Lakszmanie oraz o Hanumanie najdzielniejszej z małp","0,0",8390897121,https://lubimyczytac.pl/ksiazka/5124637/ramajana-najstarsza-basn-swiata
Podkowa Leśna i Stawisko Szkice z dziejów,Janusz Kubiak,2000-01-01,,polski,Towarzystwo Przyjaciół Miasta-Ogrodu Podkowa Leśna,"biografia, autobiografia, pamiętnik",papier,1,0,"Opracowania dotyczące Podkowy Leśnej i Stawiska:""Urbanistyka Podkowy Leśnej"", Janusz Kubiak, Krzysztof Rudziński""Dzieje Stawiska"" Barbara Nowicka""Zieleń Podkowy Leśnej"" Alicja Lipińska, Małgorzata Narkiewicz-Jodko, Barbara Walicka""Historia Towarzystwa Przyjaciół Miasta-Ogrodu Podkowa Leśna, Anna Żukowska-Maziarska","7,0",8390924420,https://lubimyczytac.pl/ksiazka/4862818/podkowa-lesna-i-stawisko-szkice-z-dziejow
Chet Baker: His Life and Music,Jeroen De Valk,2000-01-01,308,angielski,Berkeley Hills Books,"biografia, autobiografia, pamiętnik",papier,1,0,"Chet Baker (1929-1988) was a star by the age of 23, winner of all the jazzpolls for his singing as well as his trumpet playing. His early promise,though, was frustrated by involvement with drugs, and by a popular shift intaste away from the cool jazz of the West Coast. But except for a few yearsof inactivity Chet continued to perform for over thirty years-mostlyoverseas, and often in bad shape-but always faithful to his original, lyricstyle. Some of his finest recordings were made shortly before his death.Since then his reputation has recovered and continues to grow, thanks to hisromantic life as much as his beautiful music.","6,0",189316313X,https://lubimyczytac.pl/ksiazka/270728/chet-baker-his-life-and-music
La vie exterieure,Annie Ernaux,2000-01-01,,francuski,Folio,"biografia, autobiografia, pamiętnik",papier,1,0,Ta książka nie posiada jeszcze opisu.,"7,0",,https://lubimyczytac.pl/ksiazka/4998338/la-vie-exterieure
Reymont. Opowieść biograficzna,Barbara Koc,2000-01-01,,polski,Ludowa Spółdzielnia Wydawnicza,"biografia, autobiografia, pamiętnik",papier,0,0,Ta książka nie posiada jeszcze opisu.,"0,0",,https://lubimyczytac.pl/ksiazka/5103389/reymont-opowiesc-biograficzna
Osaczony złem,Michał Wysocki,2000-01-01,256,polski,Bodiliani,"biografia, autobiografia, pamiętnik",papier,1,0,"...Był bez obuwia, w koszuli wyciągniętej z lekko rozdartych spodni i zlany potem. Jego długie włosy były potargane, a twarz pokryta kurzem. Spojrzałem w jego oczy. Nie wiem, jakiego były koloru, ale w tym momencie wydały mi się duże, ciemne i bardzo błyszczące. A może tylko jego źrenice były tak rozszerzone, że wyglądały na niezwykłe? Bił z nich strach i przerażenie... [Z SEKCJI ZWŁOK] ...U Grzegorza Przemyka stwierdzono krwiak mięśnia skroniowego prawego, stwierdzono też podbiegnięcia krwawe płata ciemieniowego mózgu po stronie prawej 6 na 5 centymetrów i rdzenia przedłużonego. Niżej były to obrażenia szyi i pleców, gdzie stwierdzono rozległe, obejmujące w niektórych miejscach wszystkie warstwy mięśni, miejscami aż do kręgosłupa. Obrażenia te były tak silne, że krew z pękniętych naczyń spływała pod prawą łopatką...","9,0",83-914531-0-3,https://lubimyczytac.pl/ksiazka/130247/osaczony-zlem
Biała w mojej pamięci,Zdzisław Jobda,2000-01-01,259,polski,Civitas Christiana Biała Podlaska,"biografia, autobiografia, pamiętnik",papier,2,0,Ta książka nie posiada jeszcze opisu.,"6,0",8391335305,https://lubimyczytac.pl/ksiazka/5063031/biala-w-mojej-pamieci
"Dzienniki 1914-1945 [T.3, 1936-1945]",Maria Dąbrowska,2000-01-01,576,polski,Czytelnik,"biografia, autobiografia, pamiętnik",papier,11,0,Ta książka nie posiada jeszcze opisu.,"7,5",8307027187,https://lubimyczytac.pl/ksiazka/4311267/dzienniki-1914-1945-t-3-1936-1945
Listy do Muzy,Zbigniew Herbert,2000-01-01,199,polski,Małgorzata Marchlewska Wydawnictwo,"biografia, autobiografia, pamiętnik",papier,15,2,"Listy miłosne Zbigniewa Herberta do Haliny Misiołek. Pięknie wydana książka zawiera dotąd nie publikowane listy Zbigniewa Herberta do jego największej, ""nieskończonej"" miłości: ""Muzy"", Hali, Haluni...","6,9",8391228150,https://lubimyczytac.pl/ksiazka/196220/listy-do-muzy
…w Czeremnej i okolicy”,Zenon Adamczewski,2000-01-01,124,polski,Mała Poligrafia Redemptorystów,"biografia, autobiografia, pamiętnik",papier,0,0,Wspomnienia żołnierza AK ps. Włóczęga z czasów II wś uczestnika wielu akcji dywersyjnych oraz Akcji „Burza” w 5 Pułku Strzelców Podhalańskich AK w Obwodzie Jasło Armii Krajowej.,"0,0",8386744596,https://lubimyczytac.pl/ksiazka/5133316/w-czeremnej-i-okolicy
William Shakespeare,Jennifer Bassett,2000-01-01,,polski,Oxford University Press,"biografia, autobiografia, pamiętnik",papier,1,0,Ta książka nie posiada jeszcze opisu.,"6,0",0194229904,https://lubimyczytac.pl/ksiazka/4904044/william-shakespeare
