title,author,release_date,page_count,language,publisher,genre,format,reviews,ratings,description,avg_score,ibsn,link
Sekrety Gór Izerskich,Karolina Matusewicz-Górniak,2024-12-20,158,polski,Księży Młyn Dom Wydawniczy Michał Koliński,historia,papier,1,0,"A może zakochasz się w Górach Izerskich jak bracia Carl i Gerhart Hauptmannowie i porzucisz wszystko, by zamieszkać w Szklarskiej Porębie? Zapierająca dech w piersiach zimowa aura na Polanie Jakuszyckiej nie pozostawi Ci wyboru – założysz narty i rozpoczniesz najwspanialszą przygodę. Zajmiesz miejsce w pociągu na stacji w Jeleniej Górze i wysiądziesz dopiero pod samą Szrenicą. Wieczorem odpoczniesz w leczniczych źródłach w Świeradowie-Zdroju, a potem przyjmiesz zaproszenie na kolację od Wlastimila Hofmana i jego żony Ady. Zatopisz się w niezwykłych opowieściach o nieistniejącej wsi Gross-Iser, skarbach Szczeliny Jeleniogórskiej, strażnicy WOP Orle i skrytkach Grundmanna. Z głową pełną historii w dalszą podróż udasz się ciężarówką LIAZ, która zabierze Cię prosto do… Huty Szkła Kryształowego „Julia” i Kořenova-Přichovic, gdzie z latarni morskiej Járy Cimrmana dojrzysz samego… Franka Dolasa, rozpętującego właśnie II wojnę światową! Ponad 30 fantastycznych historii czeka na odkrycie.","7,0",9788377297940,https://lubimyczytac.pl/ksiazka/5173526/sekrety-gor-izerskich
Kresy w oczach oficerów KOP,Jan Widacki,2024-12-19,320,polski,Universitas,historia,papier,1,1,"Opracowanie oficerów oświatowych KOP pokazuje prawdziwy obraz Kresów Wschodnich II Rzeczypospolitej. Obraz, który we współczesnym polskim piśmiennictwie jest mocno zmitologizowany i tym samym zafałszowany. Zmitologizowana, „polukrowana” historia nie jest nauczycielką życia… Oficerowie KOP, dokonując opisu gmin kresowych, w których stacjonowali, czynili to rzetelnie, wszak sporządzony przez nich opis miał służyć ich formacji. Nie był przeznaczony dla zewnętrznego czytelnika. Nie było w nim miejsca na propagandę czy choćby koloryzowanie rzeczywistości.Z wprowadzeniaProf. dr hab. Jan Widacki – profesor Uniwersytetu Andrzeja Frycza Modrzewskiego w Krakowie, członek korespondent PAU, adwokat. Zajmuje się naukowo kryminologią, kryminalistyką, organizacją i historią służb policyjnych i specjalnych. W latach 1990–1992 wiceminister spraw wewnętrznych, w latach 1992–1996 pierwszy polski ambasador na Litwie, a w latach 2007–2011 poseł na Sejm RP.","7,0",9788324268108,https://lubimyczytac.pl/ksiazka/5172006/kresy-w-oczach-oficerow-kop
SYMBIOZA I AMBIWALENCJA Polacy i Żydzi w małym miasteczku galicyjskim,Rosa Lehmann,2024-12-19,322,polski,Wydawnictwo Akademickie Dialog,historia,papier,3,0,"Od czasu Holokaustu przeprowadzono wiele badań w celu zrozumienia, co się wydarzyło w tych tragicznych latach i dlaczego. Wiele spośród tych badań było próbą przypisania komuś winy za jedną z największych zbrodni XX wieku. W Polsce szczególnie zauważalny jest wzrost zainteresowania różnymi aspektami polsko-żydowskiej przeszłości, co można wyjaśnić intelektualną potrzebą eksploracji „białych plam” w historii.Rosa Lehmann w swojej książce zbadała stosunki polsko-żydowskie w małym galicyjskim miasteczku – Jaśliskach – od początku XIX wieku do końca II wojny światowej. Szczegółowa analiza materiałów archiwalnych, a także wywiady z polskimi mieszkańcami tego miasta oraz ocalałymi Żydami mieszkającymi w różnych częściach świata, ujawniają wzorzec współzależności polsko-żydowskiej, który doprowadził do powstania znacznie bardziej złożonego obrazu, niż się powszechnie zakłada. Lata pogromów, antysemickie kampanie i masowa emigracja Żydów z Polski – wszystkie te kwestie stały się głównymi tematami publicznej refleksji w Polsce po wielu latach milczenia i doprowadziły do powszechnego poglądu, że stosunki polsko-żydowskie są nieodwracalnie zatrute przez antysemityzm. Jeśli tak jest, to jak to możliwe, pyta autorka, że Żydzi nadal odgrywają ważną rolę w obrazach kulturowych i świadomości narodu polskiego?Zrekonstruowana przez autorkę lokalna historia życia Żydów oraz interakcji Żydów i Polaków w mniejszych miastach tworzy obraz niezwykle szczegółowy, wkraczający w pole zainteresowań nie tylko antropologów i historyków, ale nawet folklorystów. Praca Rosy Lehmann otwiera nowe możliwości i czyni to badanie wyjątkowo cennym i znaczącym.Rosa Lehmann uzyskała tytuł magistra antropologii społecznej i doktora nauk społecznych na Uniwersytecie Amsterdamskim. Specjalizuje się w badaniach nad mniejszościami żydowską i ukraińską w Polsce. Była pracownikiem naukowym w Amsterdam School for Social Science Research (Uniwersytet Amsterdamski) oraz w Menasseh Ben Israel Institute for Jewish Social and Cultural Studies w Amsterdamie. Związana była również z Instytutem Studiów nad Wojną, Holokaustem i Ludobójstwem oraz Holenderskim Instytutem Dokumentacji Wojny.","8,7",9788382381467,https://lubimyczytac.pl/ksiazka/5173349/symbioza-i-ambiwalencja-polacy-i-zydzi-w-malym-miasteczku-galicyjskim
Korzenie Polski,Przemysław Urbańczyk,2024-12-17,320,polski,Wydawnictwo Naukowe PWN,historia,papier,2,0,"Jak głęboko wstecz sięgają nasze korzenie? Co starożytni wiedzieli o naszych ziemiach? Skąd się wzięli Słowianie? Gdzie była stolica państwa wczesnopiastowskiego? Co odziedziczył Bolesław Chrobry? I jakie były konsekwencje jego rządów?Profesor Przemysław Urbańczyk, wybitny badacz wczesnego średniowiecza, w swojej najnowszej książce próbuje odpowiedzieć na te i wiele innych frapujących pytań. Z długiej listy zagadnień dotyczących początków państwa polskiego wybrał 28 najważniejszych i przedstawił je w krótkich rozdziałach. Ilustrują one skomplikowany proces, który wskutek splotu świadomych decyzji i historycznych przypadków doprowadził do powstania państwa wczesnopiastowskiego – na początku drugiego tysiąclecia nazwanego Polonią.Korzenie Polski to idealna książka zarówno dla zaawansowanych, jak i początkujących pasjonatów historii. To pozycja, która każdego skłoni do refleksji i sprowokuje do dyskusji.","8,0",9788301238483,https://lubimyczytac.pl/ksiazka/5164921/korzenie-polski
Łódź : historia wielokulturowego miasta przemysłowego w XX wieku,Hans-Jürgen Bömelburg,2024-12-17,582,polski,Wydawnictwo Uniwersytetu Łódzkiego,historia,papier,1,0,"Hans-Jürgen Bömelburg prezentuje nowatorskie, całościowe i bogato udokumentowane ujęcie historii Łodzi, snując pasjonującą opowieść o tym drugim co do wielkości przez cały wiek XX polskim mieście z perspektywy wielokulturowości i wielojęzyczności.Rozkwit tej miejscowości był zasługą niemieckich, żydowskich i polskich fabrykantów tekstylnych, kupców, a także robotników, zwłaszcza robotnic, żyjących często w warunkach ubóstwa i niepewności. Ta społeczność kształtowała wizerunek Łodzi jako „miasta wielu kultur”.Autor pokazuje również jej rozpad na grupy narodowe w latach trzydziestych oraz rozsadzenie jej od środka i zagładę w czasie drugiej wojny światowej (poprzez eksterminację ludności żydowskiej i wymordowanie polskich elit),kiedy okupowana przez Niemców Łódź nosiła nazwę Litzmannstadt.Po 1945 roku wysiedlenia i dyskryminacje (głównie na fali antysemityzmu w 1968 roku) dopełniły dzieła zniszczenia wielokulturowego dziedzictwa metropolii. Łódzki przemysł włókienniczy, niedoinwestowany w Polsce Ludowej, w okresie transformacji nie mógł zaś liczyć na wsparcie ze strony kolejnych rządów, co przy utracie większości rynków zbytu doprowadziło do jego upadku, a w konsekwencji do deklasacji miasta.Dzisiejsza Łódź usiłuje zachować swoją spuściznę historyczną, jednak w obliczu zaniku dawnej wielojęzyczności i wielokulturowości jest to ogromnym wyzwaniem.","10,0",9788383311906,https://lubimyczytac.pl/ksiazka/5174553/lodz-historia-wielokulturowego-miasta-przemyslowego-w-xx-wieku
Szczęsnego wykłady z medycyny,Wojciech Szczęsny,2024-12-17,326,polski,Wydawnictwo Naukowe Uniwersytetu Mikołaja Kopernika,historia,papier,0,0,"Książka jest luźnym zbiorem wykładów z dziedziny szeroko pojętej medycyny oraz jej historii. Nie jest to podręcznik akademicki, choć zapewne studenci znajdą tu wiele informacji. Prócz nich powinni zajrzeć tu ci, którzy interesują się biologią, medycyną i tym, jak na przestrzeni dziejów dochodzono do prawdy o anatomii, fizjologii i terapii. Nie zabraknie nawet wątków sensacyjnych czy odkryć, często przypadkowych, które jednak zadziały się „w przytomności” geniuszy, którzy nawet w bałaganie dostrzegli działanie natury. Marzeniem autora jest to, aby poszczególne rozdziały zachęciły Czytelników do poszukiwań pogłębiających wiedzę. Bo to jest główny cel, jaki od 18 lat przyświeca organizatorom i wykładowcom cyklu spotkań „Medyczna Środa”.","0,0",9788323154310,https://lubimyczytac.pl/ksiazka/5171735/szczesnego-wyklady-z-medycyny
Plebiscyt „Przeglądu Sportowego” na najlepszego sportowca polski. 1068 zadań i rozwiązań. Przeżyjmy to jeszcze raz,Zbigniew Grochowski,2024-12-17,336,polski,Wydawnictwo Adam Marszałek,historia,papier,0,0,"Książkę szczególnie polecam sportowcom, ich rodzinom, działaczom, kibicom i uczestnikom konkursów. W ogóle jest ona owocem wieloletnich zainteresowań i benedyktyńskiej pracy Zbigniewa Grochowskiego, cenionego w Polsce i poza jej granicami toruńskiego historyka. Trzeba również zauważyć rolę plebiscytu w integracji środowiska związanego ze sportem.Fragment recenzji wydawniczej Wojciecha Kaczmarka,wybitnego działacza sportowego, twórcy turnieju w siatkówce „Plaża Gotyku”,byłego wieloletniego członka Rady Sportu przy Prezydencie Torunia","0,0",9788381809566,https://lubimyczytac.pl/ksiazka/5171734/plebiscyt-przegladu-sportowego-na-najlepszego-sportowca-polski-1068-zadan-i-rozwiazan-przezyjmy
Gnom Jari z Kryształowej Góry i inne baśnie,praca zbiorowa,2024-12-17,252,polski,Bibliotekarium,"baśnie, legendy, podania",papier,0,0,"Zbiór siedemnastu baśni, które przenoszą czytelnika do magicznych światów. Opowieści nie tylko pobudzają wyobraźnię, ale również stawiają przed młodym odbiorcą szereg ważnych pytań. Bawią, uczą empatii oraz krytycznego spojrzenia na świat.","0,0",9788396959997,https://lubimyczytac.pl/ksiazka/5174363/gnom-jari-z-krysztalowej-gory-i-inne-basnie
Katalog rozpraw doktorskich Uniwersytetu Mikołaja Kopernika za lata 1946–2015. Tom 2,Bożena Kierzkowska,2024-12-17,1096,polski,Wydawnictwo Naukowe Uniwersytetu Mikołaja Kopernika,historia,papier,0,0,"To publikacja bezprecedensowa w historii Uniwersytetu Mikołaja Kopernika w Toruniu, chociaż na wielu polskich i zagranicznych uczelniach sporządzanie informatorów o własnych osiągnięciach naukowych stało się już normą i swego rodzaju obowiązkiem. Tymczasem w Toruniu nie było dotąd opracowania, które zbierałoby dane o wszystkich bronionych na uczelni dysertacjach doktorskich. Katalog rozpraw doktorskich Uniwersytetu Mikołaja Kopernika w Toruniu obejmuje lata 1946–2015 i jest efektem trzyletniej pracy archiwistów uniwersyteckich. Źródłem informacji o doktoratach umieszczonych w katalogu były zawsze i wyłącznie teczki przewodu doktorskiego i rozprawy w zasobie Archiwum UMK. Data początkowa to rok, w którym zostały obronione pierwsze rozprawy doktorskie, pisane jeszcze we Lwowie i Wilnie; końcowa – to rocznica 70-lecia powstania uczelni. Publikacja zbiera informacje o 3857 przewodach doktorskich i pracach napisanych w tym okresie na 18 wydziałach toruńskiej Almae matris. Notacja katalogowa obejmuje: numer pozycji, nazwisko i imię autora pracy, tytuł i podtytuł rozprawy, tytuł oraz imię i nazwisko promotora, tytuł oraz imiona i nazwiska recenzentów, sygnaturę archiwalną, uwagi. Integralną częścią wydawnictwa są indeksy: autorów rozpraw, promotorów i recenzentów, które uzupełniają konkordancje: dziedzin naukowych i dyscyplin naukowych. Liczby przyporządkowane poszczególnym nazwiskom w indeksach to numery odpowiednich pozycji katalogowych. Potrzebę wydania opracowania oraz jego niebagatelne znaczenie podkreślili także recenzenci Katalogu, pisząc m.in.:„Przygotowując tak ważne opracowanie jego Autorzy nawiązali do najlepszych tradycji publikowania tego typu źródeł do dziejów uczelni, które od lat są wydawane między innymi w takich uczelniach jak: Uniwersytet Jagielloński, Uniwersytet Wrocławski. „Katalog” stanowi ważne źródło nie tylko do dziejów rozwoju Uniwersytetu Mikołaja Kopernika, ale jest także znakomitym przewodnikiem po zasobach Archiwum UMK dotyczących przewodów doktorskich nadawanych na toruńskiej uczelni” (prof. Władysława Szulakiewicz). Podobną opinię wyraziła dr hab. Anna Łosowska „Autorzy Katalogu włożyli w jego opracowanie wiele wysiłku, trudu i sumienności. W efekcie otrzymaliśmy dzieło wartościowe i pożyteczne, a sama inicjatywa opracowania była niezwykle cenna. Katalog spełnia podwójną rolę: z jednej strony dokumentuje drogę naukową poszczególnych pracowników Uniwersytetu, a z drugiej pokazuje, że UMK był na tyle atrakcyjną uczelnią, że wiele osób spoza etatowych jego pracowników tu uzyskiwało swoiste przepustki do dalszych samodzielnych badań w swoich uczelniach. Należy też wskazać, że prezentowany Katalog jest w zasadzie pierwszym opracowaniem tego typu, obejmującym państwowe uniwersytety polskie”. Natomiast z perspektywy badacza historii głos zabrał prof. Mariusz Wołos: „Jako historyk czasów najnowszych dostrzegam wielkie zalety katalogu. Po pierwsze, stanowi on ważny element do badań nad dziejami Uniwersytetu i związanych z nim ludzi zarówno kadry profesorskiej, jak i absolwentów, najczęściej młodych uczonych zaczynających swoją przygodę z nauką, wśród których znajdziemy informacje zarówno na temat postaci wybitnych, jak i przeciętnych. Po wtóre, katalog jest kapitalnym materiałem do analiz biograficznych, bynajmniej nie ograniczających się do powielenia danych odnoszących się do ścieżki awansowej takiej czy innej osoby, ale także dających możliwości sprecyzowania jej aktywności w charakterze promotora czy recenzenta rozpraw doktorskich, które to informacje nie zawsze można łatwo odnaleźć. Po trzecie wreszcie, podane w katalogu dane są ważnym materiałem dla badań porównawczych i statystycznych”.","0,0",9788323160403,https://lubimyczytac.pl/ksiazka/5171742/katalog-rozpraw-doktorskich-uniwersytetu-mikolaja-kopernika-za-lata-1946-2015-tom-2
Menu Zbrodni,Bartosz Paluszkiewicz,2024-12-16,320,polski,Newhomers,historia,papier,0,0,"To książka historyczna, ale pełna gastronomicznych zwrotów akcji, kryminalnych przepisów na krwawe jatki, kosy w żeberkach oraz steki baranie. W rolach głównych: siatki przestępcze, drobne rzezimieszki oraz golonka na ostro.","0,0",9788368344004,https://lubimyczytac.pl/ksiazka/5172488/menu-zbrodni
