title,author,release_date,page_count,language,publisher,genre,format,reviews,ratings,description,avg_score,ibsn,link
Podania i legendy z sandomierskiego. Część I (przyczynek do mitologii sandomierskiej),Józef Myjak,2000-01-01,80,polski,PAIR – Prywatna Agencja Informacji Regionalnej Myjakpress,"baśnie, legendy, podania",papier,1,0,"W książce zebrano legendy, mity z okolic Sandomierza jak i samego miasta.","7,0",8386436476,https://lubimyczytac.pl/ksiazka/5020138/podania-i-legendy-z-sandomierskiego-czesc-i-przyczynek-do-mitologii-sandomierskiej
Ramajana Najstarsza Baśń Świata,Ewa Kmiecik,2000-01-01,80,polski,Natur,"baśnie, legendy, podania",papier,0,0,"Najstarsza Baśń Świata czyli Opowieść o Panu Ramie, Jego żonie Sicie i bracie Lakszmanie oraz o Hanumanie najdzielniejszej z małp","0,0",8390897121,https://lubimyczytac.pl/ksiazka/5124637/ramajana-najstarsza-basn-swiata
Piast Kołodziej,autor nieznany,2000-01-01,,polski,Wydawnictwo EM,"baśnie, legendy, podania",papier,2,0,Ta książka nie posiada jeszcze opisu.,"7,5",,https://lubimyczytac.pl/ksiazka/4875438/piast-kolodziej
"Królewna na dnie studni. Podania, opowieści, baśnie i legendy ludowe powiatu szamotulskiego",Łukasz Bernady,2000-01-01,124,polski,,"baśnie, legendy, podania",papier,1,0,Ta książka nie posiada jeszcze opisu.,"7,0",8391471705,https://lubimyczytac.pl/ksiazka/244358/krolewna-na-dnie-studni-podania-opowiesci-basnie-i-legendy-ludowe-powiatu-szamotulskiego
Narzeczeni,Hans Christian Andersen,2000-01-01,,polski,brak wydawnictwa,"baśnie, legendy, podania",papier,1,0,Ta książka nie posiada jeszcze opisu.,"5,0",,https://lubimyczytac.pl/ksiazka/4933976/narzeczeni
Tomcio Paluszek,praca zbiorowa,2000-01-01,,polski,Kama,"baśnie, legendy, podania",papier,5,0,Ta książka nie posiada jeszcze opisu.,"6,8",,https://lubimyczytac.pl/ksiazka/4870098/tomcio-paluszek
Biała pani na Świerklańcu,Heinz von Hagen,2000-01-01,63,polski,Wydawnictwo Instytutu Tarnogórskiego,"baśnie, legendy, podania",papier,1,1,Wydawnictwo gratisowe - załącznik do albumu o Świerklańcu.,"8,0",,https://lubimyczytac.pl/ksiazka/5120842/biala-pani-na-swierklancu
Szczęśliwy połów,Stan Bogdan,2000-01-01,,polski,Bernardinum,"baśnie, legendy, podania",papier,1,1,Gdańskie legendy.,"5,0",8388487418,https://lubimyczytac.pl/ksiazka/4888834/szczesliwy-polow
Gęsiareczka,Jacob Grimm,2000-01-01,,polski,Siedmioróg,"baśnie, legendy, podania",papier,20,1,Ta książka nie posiada jeszcze opisu.,"6,9",,https://lubimyczytac.pl/ksiazka/4933972/gesiareczka
The Names Upon The Harp: Irish Myth And Legend,Marie Heaney,2000-11-06,,angielski,Faber and Faber,"baśnie, legendy, podania",papier,0,0,Ta książka nie posiada jeszcze opisu.,"0,0",9780571193639,https://lubimyczytac.pl/ksiazka/4619241/the-names-upon-the-harp-irish-myth-and-legend
Tajemnica Zatopionej Wyspy,Helena Zawistowska,2000-12-01,188,polski,Tower Press,"baśnie, legendy, podania",papier,3,0,"Zbiór baśni, przepięknie ilustrowanych przez Jarosława Wróbla","7,7",8387342106,https://lubimyczytac.pl/ksiazka/263171/tajemnica-zatopionej-wyspy
Legenda o źródłach Głomi Podania i legendy Krajny,Małgorzata Chołodowska,2001-01-01,102,polski,Wydawca Muzeum Ziemi Złotowskiej,"baśnie, legendy, podania",papier,1,1,"Zbiór ponad 30 podań i legend związanych z regionem Krajny Złotowskiej. Zaspakaja potrzebę poznania tradycji stron rodzinnych, najbliższej okolicy, swoich korzeni. Książka przydatna też dla polonistów i nauczycieli realizujących program edukacji regionalnej. Ciekawie ilustrowana, w twardej okładce, doskonały prezent dla babci i wnuka, a także każdego ucznia (nie tylko!) złotowskich szkół.","7,0",8390878593,https://lubimyczytac.pl/ksiazka/5058207/legenda-o-zrodlach-glomi-podania-i-legendy-krajny
Baśnie i legendy polskie,praca zbiorowa,2001-01-01,200,polski,Zielona Sowa,"baśnie, legendy, podania",papier,7,0,"Wybór najpiękniejszych polskich baśni i legend otworzy przed Tobą świat, w którym znajdują się szklane góry, płynie woda żywa i kwitnie kwiat paproci; gdzie wędrują Waligóra i Wyrwidąb, Rokita i Boruta strzegą ukrytych skarbów a piękne księżniczki czekają na wybawienie z niewoli smoków lub złego czaru... - słowem świat niezwykły, świat niewiarygodnych opowieści, w których jednak zazwyczaj - jak to w baśniach - tkwi jakieś ziarno prawdy...","6,1",8372202702,https://lubimyczytac.pl/ksiazka/4508129/basnie-i-legendy-polskie
Latin American Folktales,John Bierhorst,2001-12-18,386,angielski,Pantheon Books,"baśnie, legendy, podania",papier,0,0,"The wisdom and artistry of Latin America's storytellers preserve one of the world's richest folktale traditions--combining the lore of medieval Europe, the ancient Near East, and pre-Columbian America. Among the essential characters are the quiet man's wife who knew the Devil's secrets, the tree daughters who robbed their father's grave, and the wife in disguise who married her own husband--not to mention the Bear's son, the tricksters Fox and Monkey, the two compadres, and the classic rogue Pedro de Urdemalas. Gathered from twenty countries, including the United States, the stories are here brought together in a core collection of one hundred tales arranged in the form of a velorio, or wake, the most frequent occasion for public storytelling. The tales are preceded by a selection of early Colonial legends foreshadowing the themes of Latino folklore and are followed by a carefully chosen group of modern Indian myths that replay the basic stories in a contrasting key. Riddles, chain riddles, and folk prayers, part and parcel of the velorio along with folktales, are introduced at appropriate junctures. The collection is unprecedented in size and scope, and most of the tales have not been translated into English before. The result is the first panoramic anthology of Hispano-American folk narratives in any language","0,0",9780375714399,https://lubimyczytac.pl/ksiazka/5132400/latin-american-folktales
W zakamarkach łańcuckiej okolicy,Zbigniew Trześniowski,2002-01-01,208,polski,Regionalny Ośrodek Studiów i Ochrony Środowiska Kulturowego,"baśnie, legendy, podania",papier,1,0,"Jest to swoista kontynuacja książki tego samego autora ""Didko spod kamiennego mostu"". Zbigniew Trześniowski opisuje ciekawe miejsca z Łańcuta i jego okolic, przybliżając wiążące się z nimi tajemnice, baśnie i legendy, a niekiedy fakty historyczne.Książka jest bogato ilustrowana i opatrzona mapkami.","7,0",8391243036,https://lubimyczytac.pl/ksiazka/5051704/w-zakamarkach-lancuckiej-okolicy
Baśnie polskie,Józef Ignacy Kraszewski,2002-01-01,45,polski,SARA,"baśnie, legendy, podania",papier,1,1,Ta książka nie posiada jeszcze opisu.,"6,0",8372972893,https://lubimyczytac.pl/ksiazka/4960737/basnie-polskie
Tajemnice polskiej ziemi. Legendy i podania różnych regionów Polski,Maria Krüger,2002-01-01,176,polski,Siedmioróg,"baśnie, legendy, podania",papier,1,0,"""Tajemnice polskiej ziemi"" to najpiękniejsze baśnie i legendy polskie w interpretacji znakomitej autorki, Marii Kruger. W wyborze znalazły się podania o Lechu i Królu Zygmuncie, historia toruńskich pierników i warszawskiej Syrenki, legenda o Złotej Kaczce oraz wiele innych barwnych opowieści przybliżających polską tradycję i historię.","8,0",8371624298,https://lubimyczytac.pl/ksiazka/4869165/tajemnice-polskiej-ziemi-legendy-i-podania-roznych-regionow-polski
